Specimen_Number,Preservation,Order,Family,Genus,Species,Sex,thorax_length,thorax_width,thorax_depth,left_forewing_length,left_forewing_width,left_hindwing_length,left_hindwing_width,right_forewing_length,right_forewing_width,right_hindwing_length,right_hindwing_width
988141,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,f,6.8,4.2,5.1,33.9,9.8,32.8,9.9,34.1,10,33.6,9.8
988142,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,f,7,3.1,4.9,33.6,9.9,33,9.2,33.4,9.6,32.7,9.4
988129,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,m,6.8,4.2,4.7,33.3,11.6,32.6,11.4,33.1,11.4,32.4,11.4
988131,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,m,6.8,3.9,5.2,33.3,11.3,32.2,11,33.2,11.5,32.3,11
988136,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,m,6.5,3.8,5.2,32.8,10.8,32.2,10.4,33,10.6,32.4,10.7
988130,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,m,7.2,4.2,5.4,32.6,11.2,32.3,11,32.9,11.2,32.6,11.1
988138,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,f,6.5,4.1,5.5,32.6,9.8,32.6,9.6,32.5,9.9,32.6,9.7
988134,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,m,7,3.7,4.9,32.2,10.7,31.3,10.2,32.4,10.6,31,10.2
988137,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,f,6.3,3.8,5,32.2,9.8,31.7,8.9,32.6,9.8,31.4,8.8
988133,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,m,6.7,3.6,5.1,32.1,11,31.2,11.1,32.2,11.2,31.1,11.2
988132,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,m,6.4,3.7,4.9,32.1,10.7,30.1,10.1,32,10.7,30.6,10.1
988135,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,m,6.9,3.8,5.6,31.5,10.4,31.2,10,31.3,10.4,30.9,10.4
988205,Dry - mounted,Odonata,Coenagrionidae,Ceriagrion,Ceriagrion tenellum,f,4.5,2.8,3,21.8,5,20.2,5.1,21.7,5,19.9,5.1
988204,Dry - mounted,Odonata,Coenagrionidae,Ceriagrion,Ceriagrion tenellum,f,4.7,2.8,2.8,21.2,4.7,19.1,4.7,21.3,4.5,19,4.5
988203,Dry - mounted,Odonata,Coenagrionidae,Ceriagrion,Ceriagrion tenellum,f,5.3,2.9,3,21.1,5.2,20.2,5,21.3,5.1,20,4.9
988201,Dry - mounted,Odonata,Coenagrionidae,Ceriagrion,Ceriagrion tenellum,f,4.3,2.8,2.8,19.9,4.4,18.6,4.8,19.9,4.8,18.6,4.7
988208,Dry - mounted,Odonata,Coenagrionidae,Ceriagrion,Ceriagrion tenellum,f,5,2.7,3.2,19.8,4.4,18.8,4.8,19.9,4.6,18.4,4.5
988207,Dry - mounted,Odonata,Coenagrionidae,Ceriagrion,Ceriagrion tenellum,f,4.4,2.9,3,19.8,4.2,19.2,4.6,19.5,4.5,19.2,4.4
988206,Dry - mounted,Odonata,Coenagrionidae,Ceriagrion,Ceriagrion tenellum,f,4.1,2.8,3,19.7,4.7,18.6,4.5,19.6,4.7,18.6,4.7
988198,Dry - mounted,Odonata,Coenagrionidae,Ceriagrion,Ceriagrion tenellum,m,4,2.6,2.5,19.3,4.3,17.8,4.2,19.2,4.2,17.8,4.2
988200,Dry - mounted,Odonata,Coenagrionidae,Ceriagrion,Ceriagrion tenellum,m,4.3,2.5,2.8,19.2,4.2,17.5,4,18.9,4.2,17.6,4
988202,Dry - mounted,Odonata,Coenagrionidae,Ceriagrion,Ceriagrion tenellum,f,5,2.8,2.8,18.9,4.2,18,4,19.1,4.2,18.1,4.2
988195,Dry - mounted,Odonata,Coenagrionidae,Ceriagrion,Ceriagrion tenellum,m,4.3,2.7,2.7,18.8,4.1,17.8,4.3,18.9,4,17.9,4.1
988194,Dry - mounted,Odonata,Coenagrionidae,Ceriagrion,Ceriagrion tenellum,m,3.8,2.6,2.8,18.8,4.1,18.1,4,18.6,4.1,18.1,4
988197,Dry - mounted,Odonata,Coenagrionidae,Ceriagrion,Ceriagrion tenellum,m,4.2,2.7,2.8,18.7,4.3,19.3,4.2,18.9,4.3,18.1,4.1
988196,Dry - mounted,Odonata,Coenagrionidae,Ceriagrion,Ceriagrion tenellum,m,4.3,2.5,2.9,18.7,4.1,17.9,4,18.7,4.1,17.8,4.1
988193,Dry - mounted,Odonata,Coenagrionidae,Ceriagrion,Ceriagrion tenellum,m,4.4,2.6,2.6,18.7,4,17.4,4,18.6,4.1,17.6,4
988199,Dry - mounted,Odonata,Coenagrionidae,Ceriagrion,Ceriagrion tenellum,m,4.4,2.6,2.6,18.4,4,17.7,3.8,18.5,4.1,17.5,4.1
988268,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion hastulatum,f,4.4,2.6,3.1,22.6,4.5,21.5,4.5,22.9,4.7,21.8,4.6
988266,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion hastulatum,f,5,2.6,3.1,22.2,4.7,21.6,4.5,22.2,4.6,21.6,4.4
988265,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion hastulatum,f,4.7,2.4,3.5,21.9,4.4,21.1,4.3,21,4.3,20.8,4.2
988269,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion hastulatum,f,4.8,2.8,2.9,21.7,4.4,21,4.6,22.4,4.7,21.2,4.1
988260,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion hastulatum,m,4.3,2.6,2.8,21.7,4,18.7,4,21.2,4,19.1,3.7
988267,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion hastulatum,f,4.8,2.5,2.8,21.6,4.8,20.8,4.3,21.5,4.7,21.1,4.4
988261,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion hastulatum,m,3.7,2.5,2.6,21.6,4.1,20,3.9,21.6,4.1,20.4,4
988263,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion hastulatum,m,3.7,2.3,2.4,21.5,4.1,20.5,3.7,21.3,4.2,20.6,3.8
988259,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion hastulatum,m,4.3,2.5,2.8,20.7,4.1,19.1,3.9,20.2,4.1,19.2,3.2
988264,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion hastulatum,m,3.9,2.1,2.3,20.3,3.8,19.2,3.8,20.4,3.7,19,3.9
988257,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion hastulatum,m,4.5,2.5,2.6,20.2,4,18.8,3.8,20.2,4.1,18.7,3.9
988262,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion hastulatum,m,4,2.6,2.7,19.9,4.6,18.6,3.9,20,4.3,18.9,4
988258,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion hastulatum,m,4.6,2.1,2.9,19.6,3.9,18.5,3.8,19.6,4.1,19.1,3.7
988128,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion mercuriale,f,4,1.8,2.2,19.9,4.2,19.3,3.9,20.4,4,19.7,4.5
988125,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion mercuriale,f,4.1,2.5,2.8,19.6,4.5,18.4,4.5,19.2,4.2,17.9,4.3
988123,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion mercuriale,f,4.2,2.6,2.9,19.5,4,17.9,3.7,19.5,3.9,18.1,3.7
988124,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion mercuriale,f,4.3,2.5,3.3,19.4,4.1,18.7,3.7,19.6,4.1,18.7,4.1
988126,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion mercuriale,f,4.3,2.6,2.8,19.3,3.7,18.4,4,19.3,3.9,18.2,4.2
988121,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion mercuriale,f,4.2,2.6,3,19.2,4.2,18.5,4.1,19.3,4.1,18.6,4
988122,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion mercuriale,f,3.7,2.4,2.8,19,4.1,18,4.1,19.1,4.2,18.2,4
988127,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion mercuriale,f,4.2,2.5,2.6,18.5,4.2,17.9,3.8,18.4,4.1,18,4.3
988120,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion mercuriale,m,3.5,2.4,2.6,17.8,3.8,17.1,3.8,17.9,3.8,17.2,3.6
988115,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion mercuriale,m,3.8,2.5,2.6,17.6,3.8,16.8,3.5,17.7,3.8,16.8,3.6
988114,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion mercuriale,m,3.9,1.9,2.7,17.3,3.7,16.3,3.7,17.4,3.7,16.2,3.7
988117,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion mercuriale,m,3.5,2.4,2.6,17.2,3.8,16.2,3.6,17.7,3.8,16.2,3.7
988118,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion mercuriale,m,3.7,2.2,2.6,16.9,3.6,15.6,3.6,16.8,3.7,15.7,3.5
988116,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion mercuriale,m,3.5,2.1,2.5,16.6,3.6,15.6,3.4,17.1,3.6,15.9,3.4
988119,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion mercuriale,m,3.6,2,2.7,16.3,3.7,15.4,3.4,16.3,3.6,15.3,3.5
988113,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion mercuriale,m,3.4,2.3,2.6,15.7,3.1,14.2,2.9,15.7,3.2,14.5,3
988047,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion puella,f,4.3,2.9,2.7,23.8,4.5,21.8,4.6,23.4,4.6,21.9,4.6
988045,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion puella,f,4.3,2.8,2.7,23.1,4.3,22.1,4.4,23.4,4.5,22.2,4.6
988046,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion puella,f,4.2,2.7,2.7,23,4.3,21.8,4.6,22.9,4.2,21.9,4.1
988048,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion puella,f,4.8,2.8,2.5,22.6,4,20.9,3.9,22.4,3.8,20.3,4.1
988043,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion puella,f,4,2.5,3.1,22.4,4.4,21.5,4.3,22.6,4.4,21.1,4.2
988035,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion puella,m,4.4,2.4,2.6,22.2,4,20.2,3.6,22,3.9,20.3,3.6
988042,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion puella,f,4.6,2.5,2.9,22.1,4,20.5,4,22.3,4.1,21.2,3.9
988038,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion puella,m,3.5,2.5,2.8,22.1,3.9,20.6,3.8,21.7,3.9,20.2,3.8
988033,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion puella,m,4.4,2.6,2.6,22,3.9,20,3.6,21.9,3.9,20.6,3.7
988039,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion puella,m,4.4,2.7,3.3,21.9,4.3,20.9,4.1,22,4,20,4.3
988036,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion puella,m,4.2,2.6,2.6,21.8,3.9,20.3,4,22.1,4.2,20.3,4
988044,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion puella,f,4.1,2.5,2.9,21.8,3.7,20.3,4.1,21.7,4,20.1,3.7
988041,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion puella,f,4.6,2.5,2.9,21.7,4.1,20.9,3.8,21.6,4.4,21,4.1
988034,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion puella,m,4.3,2.4,3.1,21.6,3.7,19.6,3.8,21.6,3.7,18.9,3.5
988037,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion puella,m,3.7,2.1,2.4,19.8,3.9,18.4,3.7,19.7,3.7,18.2,3.9
988040,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion puella,m,3.9,2.3,2.6,19.4,3.5,18.6,3.5,19.6,3.6,18.4,3.6
988111,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion pulchellum,f,5,3,3.6,23.8,5,22.4,4.5,23.8,5.1,23,4.8
988105,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion pulchellum,f,4.4,2.6,2.9,22.9,4.2,21.4,4.2,22.6,4.3,21.3,4.2
988106,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion pulchellum,f,4.4,2.6,3.1,22.7,4.1,21.6,4.2,22.7,4.1,21.5,4.2
988112,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion pulchellum,f,4.4,2.7,2.8,22.6,4.3,21.4,4.2,22.2,4.4,21.2,4.3
988108,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion pulchellum,f,4.5,2.7,3.3,22.3,4,20.4,4.2,22.1,4.2,20.5,4.1
988110,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion pulchellum,f,4.2,2.7,2.9,22.2,4.1,20.8,4.1,22.3,4.2,21,4.2
988109,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion pulchellum,f,4,2.8,2.7,22.1,4.3,21,4.2,21.9,4.3,20.8,4.1
988107,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion pulchellum,f,4.2,2.6,2.9,21.4,4.4,20.2,4.2,21.3,4.3,20.3,4.3
988103,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion pulchellum,m,3.9,2.5,2.6,20.8,4.2,19.3,4.1,20.7,4.1,19.3,4.1
988100,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion pulchellum,m,3.9,2.5,2.6,20.8,4.2,19.6,4.6,20.8,4.3,19.2,4.3
988102,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion pulchellum,m,3.7,2.5,3.1,20.4,4,19,4.2,20.3,4,19,4
988104,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion pulchellum,m,4,2.4,2.9,20.1,4.2,18.7,4.3,20.4,4.2,19.1,4.2
988097,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion pulchellum,m,4,2.3,2.5,19.9,3.9,18.6,4.2,19.7,4,18.6,4.2
988098,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion pulchellum,m,3.9,2.4,2.8,19.8,4.2,18.5,3.9,19.7,4,18.5,3.9
988099,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion pulchellum,m,4,2.5,2.8,19.6,4,18.6,4.1,19.8,4.1,18.6,3.9
988101,Dry - mounted,Odonata,Coenagrionidae,Coenagrion,Coenagrion pulchellum,m,4,2.3,2.4,19,3.7,18.3,3.9,19,3.7,18.3,3.7
989432,Dry - mounted,Odonata,Cordulegastridae,Cordulegaster,Cordulegaster boltonii,f,13.2,9.2,11,49.8,10.7,49.1,13.4,49.9,10.7,48.9,13.2
989427,Dry - mounted,Odonata,Cordulegastridae,Cordulegaster,Cordulegaster boltonii,f,13.3,9.5,10.6,49.7,11.1,48.5,14.1,49.6,11.1,48.2,14
989430,Dry - mounted,Odonata,Cordulegastridae,Cordulegaster,Cordulegaster boltonii,f,12.5,8.9,10.7,49.6,11.1,49.3,13.9,50.2,11.1,48.9,13.4
989431,Dry - mounted,Odonata,Cordulegastridae,Cordulegaster,Cordulegaster boltonii,f,12.1,8.5,10.2,49.5,11.5,48.5,13.6,49.9,11.3,48.3,13.8
989428,Dry - mounted,Odonata,Cordulegastridae,Cordulegaster,Cordulegaster boltonii,f,12.6,9.1,11.1,49.1,11.2,48.6,13.5,48.9,11.2,48.4,13.7
989425,Dry - mounted,Odonata,Cordulegastridae,Cordulegaster,Cordulegaster boltonii,f,12.8,9,11.3,48.3,10.7,47.3,13,48.2,11.1,47.5,13.3
989426,Dry - mounted,Odonata,Cordulegastridae,Cordulegaster,Cordulegaster boltonii,f,12.6,9.9,10.6,45.5,10.5,44.8,13.1,45.4,10.7,44.4,13.3
989420,Dry - mounted,Odonata,Cordulegastridae,Cordulegaster,Cordulegaster boltonii,m,12.3,8.7,9.3,45.1,10.1,44.4,12.2,45.2,10.1,43.9,12.4
989424,Dry - mounted,Odonata,Cordulegastridae,Cordulegaster,Cordulegaster boltonii,m,12.2,8,9.1,45.1,9.7,44,11.7,44.9,10,44.1,11.6
989429,Dry - mounted,Odonata,Cordulegastridae,Cordulegaster,Cordulegaster boltonii,f,12,8,9.9,45,10.6,44.4,12.9,45.2,10.4,44.4,12.7
989419,Dry - mounted,Odonata,Cordulegastridae,Cordulegaster,Cordulegaster boltonii,m,11.1,8.3,9.6,44.3,8.9,43.8,11.7,44.5,9.3,43,12
989421,Dry - mounted,Odonata,Cordulegastridae,Cordulegaster,Cordulegaster boltonii,m,12,8,9.9,44.2,10.1,43.8,12.1,44.5,10.4,43.9,11.9
989417,Dry - mounted,Odonata,Cordulegastridae,Cordulegaster,Cordulegaster boltonii,m,12,8.1,10.1,43.7,9.7,42.9,12.7,44.1,9.7,42.9,12.6
989418,Dry - mounted,Odonata,Cordulegastridae,Cordulegaster,Cordulegaster boltonii,m,12.3,7.8,10.8,43.7,9.6,42.7,11.8,43.8,9.5,42.8,11.6
989422,Dry - mounted,Odonata,Cordulegastridae,Cordulegaster,Cordulegaster boltonii,m,11.4,8.4,11.7,43.7,9.4,42.5,11.6,43.2,9,42.1,12.1
989423,Dry - mounted,Odonata,Cordulegastridae,Cordulegaster,Cordulegaster boltonii,m,12.6,7.9,9.5,39.3,9.1,39.2,11.6,40.1,9,39.3,11.5
989458,Dry - mounted,Odonata,Corduliidae,Cordulia,Cordulia aenea,f,9.1,5.3,7.5,57,8.5,35.5,10.4,36.7,8.4,36.2,10.5
989450,Dry - mounted,Odonata,Corduliidae,Cordulia,Cordulia aenea,m,10.1,6.3,8.5,36.6,8.5,35.1,10.5,36.6,8.5,35.8,10.4
989460,Dry - mounted,Odonata,Corduliidae,Cordulia,Cordulia aenea,f,9,5.9,6.6,35.8,8.5,35,10.9,35.6,8.7,34.3,10.9
989452,Dry - mounted,Odonata,Corduliidae,Cordulia,Cordulia aenea,m,9.4,5.8,8.2,35.7,8.4,34.7,10.6,35.1,8.2,34.8,10.5
989459,Dry - mounted,Odonata,Corduliidae,Cordulia,Cordulia aenea,f,9.2,6.2,7.6,35.6,8.5,34.5,10.7,34.8,8.3,34.7,10.8
989457,Dry - mounted,Odonata,Corduliidae,Cordulia,Cordulia aenea,f,8.8,5.6,7.3,35.2,8.4,34.8,10.3,35.5,8.4,34.8,10.7
989461,Dry - mounted,Odonata,Corduliidae,Cordulia,Cordulia aenea,f,9,6,7,34.7,8,33.8,10,35,7.8,33.6,10.1
989449,Dry - mounted,Odonata,Corduliidae,Cordulia,Cordulia aenea,m,10.1,6.1,7.6,34.5,8,33.7,10.2,33.9,8.1,33.8,10.2
989453,Dry - mounted,Odonata,Corduliidae,Cordulia,Cordulia aenea,m,9.6,5.4,8.6,34.5,8,33.5,9.8,34.4,8,33.5,9.6
989456,Dry - mounted,Odonata,Corduliidae,Cordulia,Cordulia aenea,m,9.5,6.2,7.5,34.4,8,33.8,10.5,34.3,7.9,33.4,10.4
989451,Dry - mounted,Odonata,Corduliidae,Cordulia,Cordulia aenea,m,9.9,6.2,7.6,34,8.2,32.8,9.7,34.1,7.8,32.8,10.3
989462,Dry - mounted,Odonata,Corduliidae,Cordulia,Cordulia aenea,f,8.5,5.7,6.3,33.8,7.6,33.3,10,33.8,8.1,33.1,9.7
989455,Dry - mounted,Odonata,Corduliidae,Cordulia,Cordulia aenea,m,9,6,7.8,33.4,7.8,32.7,9.8,33.4,7.7,32.7,9.5
989454,Dry - mounted,Odonata,Corduliidae,Cordulia,Cordulia aenea,m,9.2,6,7.5,32.8,7.9,32.1,10.3,33.4,7.9,32.7,10.1
988010,Dry - mounted,Odonata,Calopterygidae,Enallagma,Enallagma cyathigerum,f,4.9,2.6,3.5,22.3,4.3,20.3,3.9,22.3,4.2,20.5,3.7
988012,Dry - mounted,Odonata,Calopterygidae,Enallagma,Enallagma cyathigerum,f,4.8,2.7,2.7,22.2,4.4,20.3,4.2,22.3,4.4,21,3.9
988016,Dry - mounted,Odonata,Calopterygidae,Enallagma,Enallagma cyathigerum,f,4.8,2.5,3,22.1,4.2,19.6,3.8,22,4.4,19.4,3.8
988011,Dry - mounted,Odonata,Calopterygidae,Enallagma,Enallagma cyathigerum,f,4.9,2.6,3.5,21.6,4.4,20.3,4.4,21.8,4.5,20.5,4.3
988007,Dry - mounted,Odonata,Calopterygidae,Enallagma,Enallagma cyathigerum,m,4.5,2.6,3.3,21.5,4,19.7,4.1,21.5,4.2,19.2,3.9
988003,Dry - mounted,Odonata,Calopterygidae,Enallagma,Enallagma cyathigerum,m,5,2.2,3.3,21,3.8,20,4,20.8,4.1,19.6,3.8
988015,Dry - mounted,Odonata,Calopterygidae,Enallagma,Enallagma cyathigerum,f,4.1,2.4,2.7,20.9,4.1,18.9,3.6,20.3,3.9,18.7,3.5
988006,Dry - mounted,Odonata,Calopterygidae,Enallagma,Enallagma cyathigerum,m,3.9,2.6,2.8,20.8,4.2,19,4.1,20.9,4.3,18.8,4.1
988009,Dry - mounted,Odonata,Calopterygidae,Enallagma,Enallagma cyathigerum,f,4,2.7,3,20.8,4,19.6,3.8,20.9,4,19.4,3.7
988004,Dry - mounted,Odonata,Calopterygidae,Enallagma,Enallagma cyathigerum,m,4.7,2.5,3.5,20.7,4.2,19.6,3.9,20.5,4.1,19.5,3.8
988008,Dry - mounted,Odonata,Calopterygidae,Enallagma,Enallagma cyathigerum,m,4.4,2.6,3.1,20.6,4.2,19.3,3.9,20.9,4,19.2,4
988002,Dry - mounted,Odonata,Calopterygidae,Enallagma,Enallagma cyathigerum,m,4.8,2.6,3.5,20.4,4.1,18.9,3.9,20.6,4,18.5,3.7
988014,Dry - mounted,Odonata,Calopterygidae,Enallagma,Enallagma cyathigerum,f,4.1,2.6,3.1,20.4,4.1,18.6,3.9,19.6,4.1,19.1,3.8
988013,Dry - mounted,Odonata,Calopterygidae,Enallagma,Enallagma cyathigerum,f,4.9,2.4,3.1,20.3,4.2,18.8,4,20.4,4.3,18.5,4.1
988001,Dry - mounted,Odonata,Calopterygidae,Enallagma,Enallagma cyathigerum,m,3.7,2.5,3.2,20.3,3.9,19.1,3.9,20.4,4,18.9,3.6
988005,Dry - mounted,Odonata,Calopterygidae,Enallagma,Enallagma cyathigerum,m,4.9,2.9,3.4,20.2,4,18.8,3.8,20.4,4.1,18.6,3.9
988090,Dry - mounted,Odonata,Coenagrionidae,Erythromma ,Erythromma najas,f,5.6,3.1,3.8,26.8,5.3,24.4,5.2,26.6,5.4,24.6,4.9
988092,Dry - mounted,Odonata,Coenagrionidae,Erythromma ,Erythromma najas,f,6.3,3.4,4.1,25.5,5.3,24,5,25.5,5.4,24,4.7
988096,Dry - mounted,Odonata,Coenagrionidae,Erythromma ,Erythromma najas,f,5.6,3.1,3.5,25.1,4.6,23.5,4.7,25.3,4.8,23.8,4.8
988093,Dry - mounted,Odonata,Coenagrionidae,Erythromma ,Erythromma najas,f,5.4,3,3.8,24.9,4.7,23.5,4.9,25,4.7,23.5,4.8
988095,Dry - mounted,Odonata,Coenagrionidae,Erythromma ,Erythromma najas,f,5.2,3.3,3.1,24.8,5,23.6,4.5,24.5,4.6,23.5,4.6
